utterance,llm_actual,GT_has_symptom,Pred_has_symptom,Outcome
"Sure, I'm I'm just having a lot of chest pain and and so I thought I should get it checked out.",['chest pain'],TRUE,TRUE,TP
"Sure 39, I'm a male.","['Fatigue', 'Headache']",FALSE,TRUE,FP
"It started last night, but it's becoming sharper.","['Sharp pain in the chest', 'Rapid heartbeat']",TRUE,TRUE,TP
It's located on the left side of my chest.,['Left-sided chest pain'],TRUE,TRUE,TP
"So I guess it would be a couple of hours now, maybe like 8.",[],FALSE,FALSE,TN
"I would say it's been pretty constant, yeah.",[],FALSE,FALSE,TN
"I'd say it's pretty sharp, yeah.",[],FALSE,FALSE,TN
Um not laying down helps.,[],FALSE,FALSE,TN
"Yes, definitely.",[],FALSE,FALSE,TN
No.,[],FALSE,FALSE,TN
"Not that I've noticed, no.",[],FALSE,FALSE,TN
Maybe taking a deep breath. Yeah.,[],FALSE,FALSE,TN
"I mean, I was moving some furniture around, but, that I've done that before.",[],FALSE,FALSE,TN
I'd say it's like a seven or eight. It's pretty bad.,[],FALSE,FALSE,TN
I feel a little lightheaded and I'm having some trouble breathing.,"['Lightheadedness', 'Trouble Breathing']",TRUE,TRUE,TP
"Um, a little bit, yeah.",[],FALSE,FALSE,TN
Just from the from having issues breathing.,['Difficulty breathing'],TRUE,TRUE,TP
Yes.,[],FALSE,FALSE,TN
No no.,[],FALSE,FALSE,TN
"No, not that I've heard.",[],FALSE,FALSE,TN
"No. Well, I guess if when I'm really having trouble breathing, yeah.",[],FALSE,FALSE,TN
"No rashes, but I guess like my neck seems to be a little swollen.",['neck swelling'],TRUE,TRUE,FP
None.,[],FALSE,FALSE,TN
They are all up to date.,[],FALSE,FALSE,TN
"Sure, I live in an apartment by myself. I, uh, yep, that's about it.",[],FALSE,FALSE,TN
I'm an accountant.,[],FALSE,FALSE,TN
I do.,[],FALSE,FALSE,TN
I smoke about a pack a day.,[],FALSE,FALSE,TN
For the past 10 to 15 years.,[],FALSE,FALSE,TN
Uh sometimes.,[],FALSE,FALSE,TN
"Per week, maybe about 5 milligrams. Not that much.",[],FALSE,FALSE,TN
"Uhm about I would say I have like one or two drinks a day, so about 10 drinks a week.",[],FALSE,FALSE,TN
"Sure, I try to eat healthy for dinner at least, but most of my lunches are, uh I eat out. And then in terms of exercise, I try to exercise every other day, I run for about half an hour. D; OK, well that's great that you've been working on the the activity and the diet as well. So has anything like this happened in your family before?",[],FALSE,FALSE,TN
"Actually, yes, my father had a heart attack when he was 45.",[],FALSE,FALSE,TN
I think my father did.,"['headache', 'fatigue']",FALSE,TRUE,FP
No strokes.,['No strokes'],TRUE,TRUE,TP
"No, I don't think so. I think you asked me everything.",[],FALSE,FALSE,TN
"Yeah, I have this pain in my chest.",['Chest pain'],TRUE,TRUE,TP
It's just right over on the on the left side.,[],FALSE,FALSE,TN
It started just 30 minutes ago.,"['Fatigue', 'Headache']",FALSE,TRUE,FP
I was just shovelling the driveway and it came on.,[],FALSE,FALSE,TN
"No, it just came on suddenly and it's uh, uh, I'm sorry. Yeah the pain has been there this whole time and it's gotten worse ever since it started.",[],FALSE,FALSE,TN
It feels dull. I feel like there's a lot of pressure on my chest.,['chest pressure'],TRUE,TRUE,TP
"Uh, seven.",[],FALSE,FALSE,TN
"No, I've never had any chest pain before.",[],FALSE,FALSE,TN
"No, I'm kind of just feeling it right here. On the left side.",[],FALSE,FALSE,TN
"Uh. I think it's a bit bit worse if I'm moving around or when I was walking in here. I think it it made it a bit worse, but nothing has seemed to make it any better since it starting.",[],FALSE,FALSE,TN
I think it's a little bit worse when I when I'm laying down.,['Lying down worsens symptoms'],TRUE,TRUE,TP
