file,expected,transcribed,expected_norm,transcribed_norm,cer,wer,mer,wil,wip,hits,substitutions,deletions,insertions,ops,truth,hypothesis
turn_000_D.wav,What brought you in today?,what brought you in today,what brought you in today,what brought you in today,0.0,0.0,0.0,0.0,1.0,5,0,0,0,"[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]]","[['what', 'brought', 'you', 'in', 'today']]","[['what', 'brought', 'you', 'in', 'today']]"
turn_001_P.wav,"Sure, I'm I'm just having a lot of chest pain and and so I thought I should get it checked out.",sure i'm i'm just having a lot of chest pain and and so i thought i should get it checked out,sure im im just having a lot of chest pain and and so i thought i should get it checked out,sure im im just having a lot of chest pain and and so i thought i should get it checked out,0.0,0.0,0.0,0.0,1.0,21,0,0,0,"[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=21, hyp_start_idx=0, hyp_end_idx=21)]]","[['sure', 'im', 'im', 'just', 'having', 'a', 'lot', 'of', 'chest', 'pain', 'and', 'and', 'so', 'i', 'thought', 'i', 'should', 'get', 'it', 'checked', 'out']]","[['sure', 'im', 'im', 'just', 'having', 'a', 'lot', 'of', 'chest', 'pain', 'and', 'and', 'so', 'i', 'thought', 'i', 'should', 'get', 'it', 'checked', 'out']]"
turn_002_D.wav,"OK, before we start, could you remind me of your gender and age?",okay before we start could you remind me of your gender and age,ok before we start could you remind me of your gender and age,okay before we start could you remind me of your gender and age,0.03278688524590164,0.07692307692307693,0.07692307692307693,0.1479289940828401,0.8520710059171599,12,1,0,0,"[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=13, hyp_start_idx=1, hyp_end_idx=13)]]","[['ok', 'before', 'we', 'start', 'could', 'you', 'remind', 'me', 'of', 'your', 'gender', 'and', 'age']]","[['okay', 'before', 'we', 'start', 'could', 'you', 'remind', 'me', 'of', 'your', 'gender', 'and', 'age']]"
turn_003_P.wav,"Sure 39, I'm a male.",sure thirty nine i'm a male,sure 39 im a male,sure thirty nine im a male,0.6470588235294118,0.4,0.3333333333333333,0.4666666666666667,0.5333333333333333,4,1,0,1,"[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='insert', ref_start_idx=1, ref_end_idx=1, hyp_start_idx=1, hyp_end_idx=2), AlignmentChunk(type='substitute', ref_start_idx=1, ref_end_idx=2, hyp_start_idx=2, hyp_end_idx=3), AlignmentChunk(type='equal', ref_start_idx=2, ref_end_idx=5, hyp_start_idx=3, hyp_end_idx=6)]]","[['sure', '39', 'im', 'a', 'male']]","[['sure', 'thirty', 'nine', 'im', 'a', 'male']]"
turn_004_D.wav,"OK, and so when did this chest pain start?",okay and so when did this chest pains start,ok and so when did this chest pain start,okay and so when did this chest pains start,0.075,0.2222222222222222,0.2222222222222222,0.3950617283950617,0.6049382716049383,7,2,0,0,"[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=7, hyp_start_idx=1, hyp_end_idx=7), AlignmentChunk(type='substitute', ref_start_idx=7, ref_end_idx=8, hyp_start_idx=7, hyp_end_idx=8), AlignmentChunk(type='equal', ref_start_idx=8, ref_end_idx=9, hyp_start_idx=8, hyp_end_idx=9)]]","[['ok', 'and', 'so', 'when', 'did', 'this', 'chest', 'pain', 'start']]","[['okay', 'and', 'so', 'when', 'did', 'this', 'chest', 'pains', 'start']]"
turn_005_P.wav,"It started last night, but it's becoming sharper.",it started last night but it's becoming shop,it started last night but its becoming sharper,it started last night but its becoming shop,0.08695652173913043,0.125,0.125,0.234375,0.765625,7,1,0,0,"[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=7, hyp_start_idx=0, hyp_end_idx=7), AlignmentChunk(type='substitute', ref_start_idx=7, ref_end_idx=8, hyp_start_idx=7, hyp_end_idx=8)]]","[['it', 'started', 'last', 'night', 'but', 'its', 'becoming', 'sharper']]","[['it', 'started', 'last', 'night', 'but', 'its', 'becoming', 'shop']]"
turn_006_D.wav,"OK, and where is this pain located?",okay and where is this pain located,ok and where is this pain located,okay and where is this pain located,0.06060606060606061,0.14285714285714285,0.14285714285714285,0.26530612244897966,0.7346938775510203,6,1,0,0,"[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=7, hyp_start_idx=1, hyp_end_idx=7)]]","[['ok', 'and', 'where', 'is', 'this', 'pain', 'located']]","[['okay', 'and', 'where', 'is', 'this', 'pain', 'located']]"
turn_007_P.wav,It's located on the left side of my chest.,it's located on the left side of my chest,its located on the left side of my chest,its located on the left side of my chest,0.0,0.0,0.0,0.0,1.0,9,0,0,0,"[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=9, hyp_start_idx=0, hyp_end_idx=9)]]","[['its', 'located', 'on', 'the', 'left', 'side', 'of', 'my', 'chest']]","[['its', 'located', 'on', 'the', 'left', 'side', 'of', 'my', 'chest']]"
turn_008_D.wav,"OK, and, so how long has it been going on for then if it started last night?",okay and so how long has it been going on for then if it started last night,ok and so how long has it been going on for then if it started last night,okay and so how long has it been going on for then if it started last night,0.0273972602739726,0.058823529411764705,0.058823529411764705,0.11418685121107264,0.8858131487889274,16,1,0,0,"[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=17, hyp_start_idx=1, hyp_end_idx=17)]]","[['ok', 'and', 'so', 'how', 'long', 'has', 'it', 'been', 'going', 'on', 'for', 'then', 'if', 'it', 'started', 'last', 'night']]","[['okay', 'and', 'so', 'how', 'long', 'has', 'it', 'been', 'going', 'on', 'for', 'then', 'if', 'it', 'started', 'last', 'night']]"
turn_009_P.wav,"So I guess it would be a couple of hours now, maybe like 8.",the well i guess it would be a couple of hours now maybe like eight,so i guess it would be a couple of hours now maybe like 8,the well i guess it would be a couple of hours now maybe like eight,0.22807017543859648,0.21428571428571427,0.2,0.3142857142857143,0.6857142857142857,12,2,0,1,"[[AlignmentChunk(type='insert', ref_start_idx=0, ref_end_idx=0, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=1, hyp_end_idx=2), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=13, hyp_start_idx=2, hyp_end_idx=14), AlignmentChunk(type='substitute', ref_start_idx=13, ref_end_idx=14, hyp_start_idx=14, hyp_end_idx=15)]]","[['so', 'i', 'guess', 'it', 'would', 'be', 'a', 'couple', 'of', 'hours', 'now', 'maybe', 'like', '8']]","[['the', 'well', 'i', 'guess', 'it', 'would', 'be', 'a', 'couple', 'of', 'hours', 'now', 'maybe', 'like', 'eight']]"
